feature,r
LDA50_abstract_weight__0_network_state_resting,0.024786598041613227
LDA50_abstract_weight__1_anxiety_trait_personality,-0.03126231378183891
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,0.003988603558403483
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.021227906421981524
LDA50_abstract_weight__4_stimulus_time_repetition,0.005328448373503501
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.012773202059621418
LDA50_abstract_weight__6_auditory_speech_temporal,0.11008266218321519
LDA50_abstract_weight__7_reward_feedback_striatum,-0.036238071778932304
LDA50_abstract_weight__8_mpfc_social_medial,-0.012999871991754546
LDA50_abstract_weight__9_memory_working_wm,-0.008523924870240219
LDA50_abstract_weight__10_food_taste_weight,-0.008873430530453861
LDA50_abstract_weight__11_learning_training_practice,0.0024219737378638503
LDA50_abstract_weight__12_women_men_sex,-0.0051473380869445085
LDA50_abstract_weight__13_fear_threat_smokers,-0.020045981787119044
LDA50_abstract_weight__14_disease_ad_pd,-0.01775718700088949
LDA50_abstract_weight__15_task_performance_cognitive,0.026321651209809744
LDA50_abstract_weight__16_response_inhibition_control,-0.0003092388693913793
LDA50_abstract_weight__17_motor_cortex_hand,0.09394188846067594
LDA50_abstract_weight__18_number_ips_numerical,-0.025065441702493134
LDA50_abstract_weight__19_action_actions_observation,0.02641249593581494
LDA50_abstract_weight__20_control_conflict_task,-0.030401319680691305
LDA50_abstract_weight__21_matter_volume_structural,-0.08038558137066451
LDA50_abstract_weight__22_method_group_approach,-0.031202902100769956
LDA50_abstract_weight__23_asd_autism_group,0.013019271013237613
LDA50_abstract_weight__24_age_adults_older,0.0009507276529310411
LDA50_abstract_weight__25_spatial_body_human,-0.011379400118355693
LDA50_abstract_weight__26_emotional_amygdala_negative,0.0036777577305647166
LDA50_abstract_weight__27_disorder_adhd_group,-0.06615221537581112
LDA50_abstract_weight__28_social_empathy_moral,-0.00748146972066845
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.03178924671086275
LDA50_abstract_weight__30_decision_making_risk,-0.017170357906725314
LDA50_abstract_weight__31_model_models_prediction,-0.030141720994866023
LDA50_abstract_weight__32_pain_somatosensory_stimulation,0.10253255955423982
LDA50_abstract_weight__33_memory_retrieval_encoding,0.02235900194750692
LDA50_abstract_weight__34_frequency_hz_ms,-0.017855682899792506
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.06961589476505169
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.03506747161982926
LDA50_abstract_weight__37_language_reading_word,-0.002888026817290971
LDA50_abstract_weight__38_semantic_category_representations,0.0023304738747217265
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.001693037649050801
LDA50_abstract_weight__40_face_faces_facial,0.002797322060423467
LDA50_abstract_weight__41_imagery_mental_events,0.050193751576047
LDA50_abstract_weight__42_visual_cortex_sensory,0.04698008942581694
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.00897550229476728
LDA50_abstract_weight__44_eye_sleep_gaze,0.0015977268387886484
LDA50_abstract_weight__45_motion_perception_visual,0.0031474071022742174
LDA50_abstract_weight__46_hemisphere_language_stroke,-0.004213970585303782
LDA50_abstract_weight__47_attention_attentional_target,0.01506582539268407
LDA50_abstract_weight__48_prefrontal_cortex_pfc,-0.03277631631118539
LDA50_abstract_weight__49_depression_mdd_state,-0.06507160300844413
