feature,r
LDA50_abstract_weight__0_network_state_resting,0.025621570764658364
LDA50_abstract_weight__1_anxiety_trait_personality,-0.013065813561354478
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,-0.038646182017919896
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.025592647728660337
LDA50_abstract_weight__4_stimulus_time_repetition,-0.008423552867156509
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.04760947070217742
LDA50_abstract_weight__6_auditory_speech_temporal,-0.009523093798489079
LDA50_abstract_weight__7_reward_feedback_striatum,-0.01806380080540515
LDA50_abstract_weight__8_mpfc_social_medial,0.09810252350385487
LDA50_abstract_weight__9_memory_working_wm,0.0413574983075649
LDA50_abstract_weight__10_food_taste_weight,-0.016227274958073624
LDA50_abstract_weight__11_learning_training_practice,-0.020557331455966013
LDA50_abstract_weight__12_women_men_sex,-0.009500259795569965
LDA50_abstract_weight__13_fear_threat_smokers,-0.011264204542316313
LDA50_abstract_weight__14_disease_ad_pd,-0.00767444656692335
LDA50_abstract_weight__15_task_performance_cognitive,0.046929323691266595
LDA50_abstract_weight__16_response_inhibition_control,0.0032164431790584615
LDA50_abstract_weight__17_motor_cortex_hand,-0.059224500667655125
LDA50_abstract_weight__18_number_ips_numerical,0.006462316797466591
LDA50_abstract_weight__19_action_actions_observation,0.02163614314911492
LDA50_abstract_weight__20_control_conflict_task,0.010409512656288223
LDA50_abstract_weight__21_matter_volume_structural,-0.08578148845775473
LDA50_abstract_weight__22_method_group_approach,-0.0817863506001683
LDA50_abstract_weight__23_asd_autism_group,0.015067834194575438
LDA50_abstract_weight__24_age_adults_older,0.022987091750010468
LDA50_abstract_weight__25_spatial_body_human,-0.05576992400630228
LDA50_abstract_weight__26_emotional_amygdala_negative,0.045310117460737924
LDA50_abstract_weight__27_disorder_adhd_group,-0.04640542951634538
LDA50_abstract_weight__28_social_empathy_moral,0.03839853522506546
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.03529538894108251
LDA50_abstract_weight__30_decision_making_risk,0.017065119942462886
LDA50_abstract_weight__31_model_models_prediction,-0.04137295508439728
LDA50_abstract_weight__32_pain_somatosensory_stimulation,-0.030817568645051793
LDA50_abstract_weight__33_memory_retrieval_encoding,0.12278789733042307
LDA50_abstract_weight__34_frequency_hz_ms,-0.08277824233590036
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.06015395568648492
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.040491788238044425
LDA50_abstract_weight__37_language_reading_word,0.10599620270168299
LDA50_abstract_weight__38_semantic_category_representations,0.05219477732775809
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.0480841856588294
LDA50_abstract_weight__40_face_faces_facial,-0.02697076306412158
LDA50_abstract_weight__41_imagery_mental_events,0.0749138499508361
LDA50_abstract_weight__42_visual_cortex_sensory,-0.03206302983584024
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.01959620691524736
LDA50_abstract_weight__44_eye_sleep_gaze,-0.024380452788085583
LDA50_abstract_weight__45_motion_perception_visual,-0.05666349338459074
LDA50_abstract_weight__46_hemisphere_language_stroke,-0.01767691543737679
LDA50_abstract_weight__47_attention_attentional_target,0.001697439417708219
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.07516449007849406
LDA50_abstract_weight__49_depression_mdd_state,-0.07569434375802443
