feature,r
LDA50_abstract_weight__0_network_state_resting,0.019608399158101107
LDA50_abstract_weight__1_anxiety_trait_personality,-0.021191904878529268
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,-0.027599888795678994
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.024419912116920562
LDA50_abstract_weight__4_stimulus_time_repetition,-0.005378736674798476
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.045103946553117696
LDA50_abstract_weight__6_auditory_speech_temporal,-0.0015237195679923788
LDA50_abstract_weight__7_reward_feedback_striatum,-0.021006206098490413
LDA50_abstract_weight__8_mpfc_social_medial,0.06942600867768797
LDA50_abstract_weight__9_memory_working_wm,0.03673517270815176
LDA50_abstract_weight__10_food_taste_weight,-0.02450069863973811
LDA50_abstract_weight__11_learning_training_practice,-0.013582491060503514
LDA50_abstract_weight__12_women_men_sex,-0.011855318162137732
LDA50_abstract_weight__13_fear_threat_smokers,-0.008621527237214188
LDA50_abstract_weight__14_disease_ad_pd,-0.0072534890845655465
LDA50_abstract_weight__15_task_performance_cognitive,0.03857191388997202
LDA50_abstract_weight__16_response_inhibition_control,-0.007008025617742597
LDA50_abstract_weight__17_motor_cortex_hand,-0.015193778774829284
LDA50_abstract_weight__18_number_ips_numerical,0.005255812205333407
LDA50_abstract_weight__19_action_actions_observation,0.04545049992651182
LDA50_abstract_weight__20_control_conflict_task,-0.003886670340731346
LDA50_abstract_weight__21_matter_volume_structural,-0.08451493589209831
LDA50_abstract_weight__22_method_group_approach,-0.07611567468880728
LDA50_abstract_weight__23_asd_autism_group,0.012877913614966183
LDA50_abstract_weight__24_age_adults_older,0.00816577833437065
LDA50_abstract_weight__25_spatial_body_human,-0.031803531929130324
LDA50_abstract_weight__26_emotional_amygdala_negative,0.031984236529218585
LDA50_abstract_weight__27_disorder_adhd_group,-0.05175102141496876
LDA50_abstract_weight__28_social_empathy_moral,0.019586855880610345
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.03431331389127476
LDA50_abstract_weight__30_decision_making_risk,0.006311417162507495
LDA50_abstract_weight__31_model_models_prediction,-0.03682253548228238
LDA50_abstract_weight__32_pain_somatosensory_stimulation,-0.0016057367733830952
LDA50_abstract_weight__33_memory_retrieval_encoding,0.11788372297423116
LDA50_abstract_weight__34_frequency_hz_ms,-0.0801722466475364
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.061856554995183055
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.04118730408064773
LDA50_abstract_weight__37_language_reading_word,0.08723328062887865
LDA50_abstract_weight__38_semantic_category_representations,0.05278081294690572
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.04405791532124088
LDA50_abstract_weight__40_face_faces_facial,-0.021254721177736875
LDA50_abstract_weight__41_imagery_mental_events,0.07864743923442513
LDA50_abstract_weight__42_visual_cortex_sensory,-0.015507926574091536
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.019595319462251164
LDA50_abstract_weight__44_eye_sleep_gaze,-0.015406291532573418
LDA50_abstract_weight__45_motion_perception_visual,-0.04924711120054036
LDA50_abstract_weight__46_hemisphere_language_stroke,-0.009573623961455975
LDA50_abstract_weight__47_attention_attentional_target,0.007238779427185946
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.0387752492438839
LDA50_abstract_weight__49_depression_mdd_state,-0.08067152369497071
